id;gemeinde_id;name;plz;kanton_id;e;n;sprache;favorite
250;198;Riedikon;8616;ZH;8.71046023451893;47.3289292444275;de;false
252;199;Effretikon;8307;ZH;8.68246058174271;47.4118304437932;de;false
253;199;Volketswil;8604;ZH;8.68195881648058;47.3948643389783;de;false
255;200;Brüttisellen;8306;ZH;8.63702046262783;47.4221861636861;de;false
256;200;Wangen b. Dübendorf;8602;ZH;8.65051815804013;47.4087220305785;de;false
257;211;Altikon;8479;ZH;8.78448757922876;47.5782130653712;de;false
258;213;Brütten;8311;ZH;8.6751849516243;47.475232536458;de;false
259;214;Rutschwil (Dägerlen);8471;ZH;8.73278554870564;47.5562797151114;de;false
260;214;Dägerlen;8471;ZH;8.71660532557105;47.5613644588469;de;false
261;214;Oberwil (Dägerlen);8471;ZH;8.71465003198825;47.5713119749988;de;false
262;214;Berg (Dägerlen);8471;ZH;8.73328955459937;47.5666014688193;de;false
263;214;Bänk (Dägerlen);8471;ZH;8.73867130274112;47.5489092084933;de;false
264;215;Dättlikon;8421;ZH;8.62352317101191;47.5285820150458;de;false
265;216;Dinhard;8474;ZH;8.76516536356092;47.5591249743011;de;false
266;218;Ellikon an der Thur;8548;ZH;8.82722043966911;47.5624573138411;de;false
267;219;Elsau;8352;ZH;8.80481191132917;47.5022421468049;de;false
268;220;Gerlikon;8500;ZH;8.87550858913778;47.5276944565226;de;false
269;220;Hagenbuch ZH;8523;ZH;8.87405448536384;47.5146424034718;de;false
270;221;Hettlingen;8442;ZH;8.7107250436847;47.5481065930135;de;false
271;223;Aesch (Neftenbach);8412;ZH;8.67750014657051;47.544651358108;de;false
272;223;Riet (Neftenbach);8412;ZH;8.68906599387693;47.5371882585659;de;false
273;223;Hünikon (Neftenbach);8412;ZH;8.66338271415827;47.5537764800041;de;false
274;223;Neftenbach;8413;ZH;8.66329537118961;47.5314518267737;de;false
275;224;Pfungen;8422;ZH;8.64236873951899;47.5097255660352;de;false
276;225;Rickenbach ZH;8545;ZH;8.79557040067332;47.5537490249554;de;false
277;225;Rickenbach Sulz;8545;ZH;8.78750289234792;47.5412020176356;de;false
278;226;Hofstetten ZH;8354;ZH;8.83962692495933;47.4728105864245;de;false
279;226;Winterthur;8405;ZH;8.79858933284518;47.471511480163;de;true
280;226;Schlatt ZH;8418;ZH;8.81852140275384;47.4714913827252;de;false
281;227;Seuzach;8472;ZH;8.72435307452684;47.5348356647789;de;false
282;228;Bichelsee;8363;ZH;8.92130422393863;47.4340548191792;de;false
285;228;Schmidrüti;8495;ZH;8.90759168220635;47.418862506454;de;false
287;230;Ricketwil (Winterthur);8352;ZH;8.79750344910202;47.4868969067115;de;false
288;230;Winterthur;8400;ZH;8.72948158872808;47.48885146772;de;true
289;230;Winterthur;8404;ZH;8.75922300277419;47.5074751212288;de;true
290;230;Reutlingen (Winterthur);8404;ZH;8.75054847716905;47.5277431558479;de;false
291;230;Stadel (Winterthur);8404;ZH;8.76522316402764;47.5381939795931;de;false
293;230;Winterthur;8406;ZH;8.70062577599452;47.4832245655534;de;true
294;230;Winterthur;8408;ZH;8.68334220969651;47.507739497075;de;true
295;230;Winterthur;8409;ZH;8.78145585052924;47.5098251053526;de;true
296;230;Sennhof (Winterthur);8482;ZH;8.75804445142767;47.4673482270587;de;false
297;230;Wiesendangen;8542;ZH;8.77776147987468;47.5316482156213;de;false
299;231;Kollbrunn;8483;ZH;8.78567393674572;47.4551370314829;de;false
301;231;Zell ZH;8487;ZH;8.83111940033487;47.4517515164338;de;false
302;231;Rämismühle;8487;ZH;8.81846743971309;47.4403486067568;de;false
303;241;Aesch ZH;8904;ZH;8.43547151139203;47.3354804434134;de;false
304;242;Uitikon Waldegg;8142;ZH;8.46528972247476;47.3558597979609;de;false
305;242;Birmensdorf ZH;8903;ZH;8.43958172020306;47.3519584380565;de;false
306;243;Dietikon;8953;ZH;8.39814175074798;47.4000440114672;de;true
307;244;Fahrweid;8951;ZH;8.41012011126212;47.414938350808;de;false
308;244;Geroldswil;8954;ZH;8.41309133922497;47.4229085786534;de;false
309;245;Oberengstringen;8102;ZH;8.46503601621043;47.4113208225132;de;false
